nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000355	Anthony Daniels	1946	\N	actor,producer,writer	tt0080684,tt0076759,tt2488496,tt2527336
nm0000426	Jennifer Grey	1960	\N	actress,soundtrack	tt2013293,tt0092890,tt0087985,tt0091042
nm0000595	Victoria Principal	1950	\N	actress,producer,executive	tt0075393,tt0077000,tt0068853,tt0071455
nm0001962	Lizzie Borden	1958	\N	director,writer,producer	tt0102340,tt0085267,tt0092238,tt0144642
nm0002825	Robert Morris	\N	\N	production_designer	tt0185400,tt0146516,tt0119330,tt0222375
nm0002953	Judith Vogelsang	\N	\N	assistant_director,director,producer	tt1326226,tt1015988,tt1358251,tt1462705
nm0003680	Giedrius Nagys	1965	\N	stunts,actor,miscellaneous	tt2488496,tt3748528,tt3659388,tt3464902
nm0004361	Roger Guyett	\N	\N	visual_effects,assistant_director,actor	tt2527338,tt0796366,tt1677720,tt2488496
nm0005923	Ric Waite	1933	2012	cinematographer,camera_department,assistant_director	tt0092513,tt0083511,tt0090859,tt0087985
nm0007392	Minna Aaltonen	1966	2021	actress,miscellaneous	tt0115243,tt0116752,tt1886726,tt0100390
nm0008548	Helena Dalli	\N	\N	actress	tt0087258,tt14220360
nm0009181	Gerald W. Abrams	1939	\N	producer,actor,miscellaneous	tt1408101,tt2488496,tt0208629,tt0796366
nm0009190	J.J. Abrams	1966	\N	producer,writer,music_department	tt0411008,tt0796366,tt2527338,tt2488496
nm0010969	Faye Adams	1925	\N	soundtrack	tt1327773,tt0048988,tt0076263,tt1672482
nm0011310	Robert Adams	1906	1965	actor	tt0989125,tt0029081,tt0038390,tt0030518
nm0013029	Shah Agha	\N	\N	actor	tt0377632,tt0133188,tt0077451,tt0232529
nm0014052	Nils Ahlroth	1920	1991	actor	tt0318208,tt0083888,tt0080687,tt0085770
nm0015881	Khalid Alami	\N	\N	make_up_department	tt0172495,tt2179136,tt0365737,tt1714915
nm0016966	Nicolai Albrecht	1970	\N	director,actor,writer	tt0126421,tt4877676,tt0407008,tt0186938
nm0017266	Mariana Alcoforado	1640	1723	writer	tt2219674,tt0076312,tt0077301,tt0062836
nm0017646	Charon Aldredge	1976	\N	actress,director,writer	tt6361966,tt0092339,tt0086744,tt6361988
nm0018224	Carla Alexandar	\N	\N	actress	tt0115154,tt0111599,tt0136758
nm0018286	Brandy Alexander	\N	\N	production_designer,art_director,art_department	tt0092492,tt0087985,tt0089901,tt0805663
nm0018963	Sherman Alexie	1966	\N	writer,producer,soundtrack	tt6291964,tt1285229,tt0120321,tt0303313
nm0019067	Francisco Alfaro	\N	\N	actor	tt0219152,tt0229414,tt1858742,tt1225810
nm0019244	Hans Alfredson	1931	2017	actor,writer,director	tt1343097,tt0073946,tt0083888,tt0089124
nm0019986	Markus Allan	\N	\N	soundtrack,actor	tt0311519,tt0116752,tt0117220,tt0168861
nm0020463	Doug Allen	\N	\N	sound_department	tt0144637,tt0168612,tt0208050,tt3307754
nm0021177	Susan Allenback	1952	\N	actress,miscellaneous,casting_department	tt0106028,tt0156934,tt0365737,tt0365125
nm0021387	Michael Allinson	1920	2010	actor	tt0138537,tt0989125,tt0365737,tt0397776
nm0021562	Fatma Alloo	\N	\N	producer,director,writer	tt0236461,tt2221829
nm0021769	Dumitru Almas	\N	\N	miscellaneous	tt0130023,tt0075067,tt0130022
nm0022138	Antonio Alonso	\N	\N	actor	tt0054802,tt0052898,tt0055881,tt0137502
nm0022471	Jim Alquist	\N	\N	actor,stunts	tt0081467,tt0080354,tt0100528,tt0105645
nm0022773	Egbert Alterna	\N	\N	cinematographer	tt0140545,tt0267003,tt0082192,tt0423489
nm0022848	Mustafa Altin	\N	\N	actor	tt0199733,tt0116752
nm0023567	Roberto Alvim	\N	\N	actor	tt0136758,tt0982909
nm0023749	Saïd Amadis	\N	\N	actor,writer	tt0365737,tt0936453,tt2170140,tt0464913
nm0023973	Dado Amaral	\N	\N	actor,director,producer	tt1081957,tt0136758,tt12393780,tt0342897
nm0024189	Bettina Amato-Gauci	\N	\N	actress	tt0087258
nm0024313	Lars Amble	1939	2015	actor,writer,director	tt0088636,tt0063611,tt0083888,tt0365763
nm0024626	Kate Amer	\N	\N	production_manager,miscellaneous,producer	tt0365737,tt0481369,tt0848228,tt1179056
nm0025633	Jafeth Ananda	\N	\N	actor	tt0043682
nm0026540	Colin Anderson	\N	\N	camera_department	tt0840361,tt1408101,tt2527338,tt2488496
nm0026957	John L. Anderson	\N	\N	actor	tt0011886
nm0026967	Jon Lee Anderson	1957	\N	miscellaneous	tt0365737,tt1127706,tt0892255,tt0374569
nm0027179	Melvin James	1976	\N	miscellaneous,director,producer	tt3365380,tt2933562,tt12093880,tt6060590
nm0027297	Pippa Anderson	\N	\N	miscellaneous,editor,production_manager	tt1136608,tt2527336,tt3748528,tt2488496
nm0028964	Ivo Andric	1892	1975	writer	tt0171349,tt1842498,tt0082441,tt0173645
nm0029245	Vittorio André	\N	\N	actor	tt0055329,tt0065842,tt0052667,tt0046880
nm0029536	Ion Angelescu-Moreni	\N	\N	actor	tt0173704,tt0130022,tt0165906,tt0130023
nm0030101	Anita	\N	\N	actress	tt0242832,tt0246086,tt0485535,tt0319736
nm0031483	Atle Antonsen	1969	\N	actor,writer,director	tt0380971,tt5195390,tt1711386,tt7597486
nm0031779	Miguel Anzures	\N	\N	actor,writer,producer	tt1133551,tt0466697,tt0359438,tt0777851
nm0033299	José Carlos Araújo	1950	\N	actor	tt0136758,tt3431296
nm0033621	Don Archbold	\N	\N	composer	tt0294043,tt0151903,tt3682706,tt3682674
nm0034084	Saundra Marie Ardito	\N	\N	miscellaneous	tt0234215,tt0365737,tt2820852,tt0119190
nm0034262	Sergio Arena	\N	\N	camera_department	tt0136758
nm0034663	Fernando Ariani	\N	\N	sound_department,composer,editor	tt0197049,tt0136758,tt0118674,tt0117910
nm0037108	Gemma Arquer	\N	\N	writer	tt0077301
nm0038428	Herbert Asbury	1889	1963	writer,miscellaneous	tt0024827,tt0025150,tt0217505,tt0025554
nm0038608	Maiser Asghar	\N	\N	actress	tt0098350,tt1049304,tt0088744,tt0270884
nm0039433	Kelly Askew	\N	\N	music_department,producer,miscellaneous	tt0116409,tt0236461
nm0039993	Maria Asti	\N	\N	actress	tt0020178,tt0444703,tt0016384,tt0181550
nm0040534	Bashar Atiyat	\N	\N	actor,miscellaneous,producer	tt9356304,tt1351787,tt12330400,tt0365737
nm0040595	Geoffrey Atkins	\N	\N	actor	tt0031205,tt0035586,tt0196236,tt0031217
nm0040772	Michael Atkinson	1927	\N	actor,director	tt4378688,tt4388508,tt0184149,tt0115335
nm0042281	Don Austen	\N	\N	actor,miscellaneous,soundtrack	tt0104940,tt2488496,tt0091419,tt3778644
nm0042885	Lamberto V. Avellana	1915	1991	director,writer,producer	tt0422735,tt0354901,tt0372761,tt0359438
nm0044171	Leopoldo Azcárate	\N	\N	actor	tt0035736
nm0044269	Azim	\N	\N	actor,miscellaneous	tt0384109,tt0395519,tt0232529,tt0372038
nm0044839	Jennifer Babcock	\N	\N	editorial_department,miscellaneous	tt0117366,tt0250214,tt0365265,tt0465472
nm0045978	Rauli Somerjoki	1947	1987	soundtrack,actor,composer	tt0120427,tt0121622,tt0116752,tt0159485
nm0046476	Zainabu Bafadhili	\N	\N	actress	tt0236461
nm0046791	Aileen Bagot	1897	1971	actress	tt0011485,tt0170725,tt0011886,tt0174901
nm0047454	Richard Bailey	1919	2000	actor	tt0059825,tt0037895,tt0034598,tt0037361
nm0049207	Gyula Bakos	1899	1969	actor	tt0048029,tt0050203,tt0048275,tt0175974
nm0049593	Frank Balchus	\N	\N	costume_department,costume_designer	tt0074991,tt0072926,tt0069414,tt0070679
nm0050428	Mason Ball	\N	\N	actor,special_effects,writer	tt0120616,tt2488496,tt0371724,tt2527336
nm0050457	Sam Ball	\N	\N	director,producer,writer	tt2538506,tt0263952,tt0409522,tt2272572
nm0050623	James Ballard	\N	\N	miscellaneous	tt0087985
nm0050866	Jakob Ballinger	\N	\N	camera_department,director,cinematographer	tt6436726,tt3707106,tt4558376,tt1745686
nm0051311	Odetta Balzan	\N	\N	actress	tt0087258
nm0051367	Jaroslav Balík	1924	1996	director,writer,assistant_director	tt0170118,tt0061836,tt0138815,tt0170244
nm0051375	Alex Bamattre	\N	\N	sound_department	tt0087985,tt0078723,tt0094791,tt0088583
nm0051404	David T. Bamberg	1904	1974	actor,writer	tt0219940,tt0219581,tt0034475,tt0035650
nm0052423	Cahal Bannon	\N	\N	producer,production_manager,miscellaneous	tt0338020,tt0160904,tt0943690,tt2711738
nm0052539	Nino Bantic	\N	\N	actor	tt0119694,tt3202350,tt0375116,tt3674454
nm0053231	Mino Barbarese	1954	2016	actor,director,writer	tt0247972,tt0241657,tt3838580,tt2392654
nm0053428	Lewis Barber	\N	\N	actor	tt0072953,tt0011886
nm0053670	Nella Simoncini Barbieri	\N	\N	actress	tt0074991,tt13379138,tt0068349,tt0874680
nm0056948	Teodosio Barresi	\N	\N	actor	tt3728314,tt2392654,tt2039354,tt4121610
nm0057775	Márcia Barros	\N	\N	actress	tt0136758,tt0144724,tt0163450,tt0273503
nm0058220	Barrão	\N	\N	actor	tt0136758
nm0059666	Darion Basco	1974	\N	actor,producer,director	tt0112572,tt0119330,tt0163745,tt1621046
nm0060299	Jean-Pierre Bassin	\N	\N	camera_department,cinematographer	tt0408985,tt4635208,tt0317198,tt0143145
nm0060747	Melissa Batchelor	\N	\N	actress	tt9515740,tt13194654,tt1830379,tt11204260
nm0061881	Lyvia Bauer	1949	2010	actress	tt0269833,tt0067868,tt0065762,tt0167597
nm0063001	Melek Baykal	1954	\N	actress	tt5478632,tt1172340,tt0424619,tt8960568
nm0065146	Helmut Beck	\N	\N	production_manager,producer	tt0051905,tt0130877,tt0029897,tt0052829
nm0065628	Barry Beckerman	1942	1996	writer,producer,miscellaneous	tt0087985,tt0075263,tt0070680,tt0076594
nm0065639	Sidney Beckerman	1920	2008	producer,miscellaneous	tt0086856,tt0065938,tt0074860,tt0087985
nm0067608	Zoja Belaja	1924	1992	actress	tt0077477,tt0080072,tt0237490,tt8228362
nm0068639	Vittorio Bellaccini	\N	\N	actor	tt0023736
nm0069370	Cy Belmore	\N	\N	actor	tt0130632
nm0069376	Harry Belmour	1882	1936	actor	tt0147156,tt0130632,tt0177387,tt0018259
nm0069624	Esther Beltri	\N	\N	actress	tt0034475
nm0069672	Pedro Beltrán	1927	2007	actor,writer	tt0089541,tt0061633,tt0076405,tt0059459
nm0069809	Jana Beláková	1947	\N	actress	tt0169762,tt0176155,tt7559446,tt7671916
nm0071581	Alfred Bennett	1876	1960	actor	tt0011886
nm0072347	Paul Bens	1964	\N	casting_department,casting_director,producer	tt0120690,tt0100116,tt0114582,tt0119330
nm0073692	Alphonse Bergé	\N	\N	actor	tt0037361,tt0254808,tt0144098,tt0028806
nm0074504	Tomas Bergfelder	\N	\N	art_department,location_management,production_designer	tt0095308,tt0088517,tt0082600,tt0806910
nm0075722	Alan Berman	\N	\N	actor,casting_department,casting_director	tt14796988,tt2760800,tt0369287,tt0103346
nm0076753	Jusak Bernhard	\N	\N	actor,producer,casting_department	tt0095342,tt0081930,tt0119330,tt0247082
nm0078707	Lucien Besnard	\N	\N	writer	tt0171593
nm0079607	Manuela Beutelhauser	\N	\N	actress	tt0095308
nm0080352	Jaya Bhattacharya	1978	\N	actress,miscellaneous	tt0238936,tt0286664,tt10895576,tt8531380
nm0080674	Sady Bianchin	\N	\N	actor	tt0136758
nm0080943	Tony Bicât	\N	\N	director,writer,composer	tt2006718,tt0270884,tt0165592,tt0169886
nm0081896	Peter Bigler	\N	\N	actor	tt0100528,tt0086130
nm0083053	Margery Binner	1908	1948	actress	tt0165618,tt0023022,tt0023161,tt0166292
nm0083612	Phillip Birkinshaw	\N	\N	actor	tt0043682,tt2035595
nm0084339	Regina Bissio	\N	\N	actress	tt0068488
nm0085779	Wanda Blackman	\N	\N	actress	tt0074991
nm0086731	Susan Blake	\N	\N	actress	tt0159378,tt0345170
nm0087374	Joyce Bland	1906	1963	actress	tt0022656,tt0206302,tt0022229,tt0029734
nm0088959	Maria Blomkvist	\N	\N	actress	tt0076524
nm0089652	Harry N. Blum	1932	2004	producer,miscellaneous	tt0074991,tt0074225,tt0070046,tt0074157
nm0089974	Pavel Blyakhin	1886	1961	writer,cinematographer	tt0014186,tt0499440,tt0020035,tt0060747
nm0089986	Toni Blye	1971	\N	editor	tt0132914
nm0090400	Eva Bobková	\N	\N	editor	tt0195274,tt0247069,tt0170118,tt13106670
nm0091727	Mike Bogert	\N	\N	art_department	tt0108538,tt0100528
nm0093036	Richard Bolks	\N	\N	actor,music_department,soundtrack	tt0393597,tt0085687,tt0451079,tt0120913
nm0093492	Jürgen Bolz	\N	\N	cinematographer,camera_department	tt11337400,tt0266916,tt0058910,tt0276627
nm0095228	Lili Bontemps	1921	1979	actress	tt0290137,tt0155627,tt0193715,tt0045622
nm0095819	Wim Oppenheimer	1973	\N	actress,miscellaneous,special_effects	tt2488496,tt0120738,tt3778644,tt2527338
nm0095965	Thiago Borba	\N	\N	art_department	tt0136758
nm0096401	Anna Borg	1903	1963	actress,director	tt0037499,tt0037851,tt0076524,tt7900012
nm0096496	Jean-Luc Borgeat	\N	\N	actor	tt2350626,tt3375350,tt0376492,tt5883468
nm0096562	Itamar Borges	\N	\N	actor,director,writer	tt0239306,tt0241386,tt0273507,tt0459019
nm0097258	Tadeusz Borowczyk	\N	\N	art_director	tt0055153
nm0097695	Peter Bos	1949	\N	actor	tt0432938,tt0229933,tt0495887,tt0100511
nm0097824	Anibal Bosco	\N	\N	camera_department,cinematographer,miscellaneous	tt0106989,tt0194794,tt0356485,tt0223078
nm0098051	Alfred G. Bosnos	\N	\N	actor	tt0061263,tt0066095,tt0068853,tt0071032
nm0098859	Gérard Boucaron	\N	\N	actor	tt0086206,tt0168316,tt2719830,tt0170905
nm0099252	Robert M. Bouffard	\N	\N	art_department,actor,art_director	tt2488496,tt0418279,tt1046173,tt1340138
nm0100054	Amon Bourne	\N	\N	actor	tt0114558,tt0147757,tt0160862,tt0408985
nm0100725	John Bowden	\N	\N	camera_department,assistant_director,sound_department	tt0338020,tt0468473,tt0297403,tt7309000
nm0101606	Michel Boyard	\N	\N	miscellaneous,transportation_department,production_manager	tt0167565,tt0325948,tt0243493,tt0408985
nm0102121	Matthew Boyett	\N	\N	actor	tt0096569,tt0100528
nm0102679	Lola Braccini	1889	1969	actress,miscellaneous	tt0038645,tt0046880,tt0058564,tt0057091
nm0102856	Charles Bracy	\N	\N	actor,sound_department	tt0076263,tt5554996,tt0087763,tt0080751
nm0103486	Frazer Bradshaw	\N	\N	cinematographer,camera_department,producer	tt9382698,tt6320860,tt0298286,tt1297928
nm0103569	Atticus Brady	\N	\N	editorial_department,editor,producer	tt0271894,tt0116242,tt0159876,tt2526462
nm0104783	Maryann Brandon	\N	\N	editor,producer,editorial_department	tt0796366,tt2488496,tt0285333,tt1650062
nm0105273	Albert Brantford	1907	1994	actor	tt0322021,tt0011886
