tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt6274394	movie	Sea to Sky	Sea to Sky	0	2017	\N	\N	Comedy
tt0922980	movie	Non uccidere!	Non uccidere!	0	1920	\N	\N	\N
tt14111646	movie	En attendant la nuit	En attendant la nuit	0	2021	\N	\N	Documentary
tt0065202	movie	Weite Strassen stille Liebe	Weite Strassen stille Liebe	0	1969	\N	76	Comedy,Drama,Romance
tt1777639	movie	Y el río sigue corriendo	Y el río sigue corriendo	0	2010	\N	70	Documentary
tt2950408	movie	Kôshoku onsen geisha: Hitô nozoki	Kôshoku onsen geisha: Hitô nozoki	0	1995	\N	60	\N
tt2609684	movie	Shinkon nureppa nashi	Shinkon nureppa nashi	0	1991	\N	60	\N
tt5654044	movie	Fuck Off 2 - Images from Finland	Perkele 2: Kuvia Suomesta vuonna 2016	0	2017	\N	89	Documentary
tt1547032	movie	Wright Street	Wright Street	0	2010	\N	120	Drama,Mystery
tt5302918	movie	Nyad	Nyad	0	\N	\N	\N	Drama
tt0843566	movie	Mudraks	Mudraks	0	2006	\N	\N	Drama
tt13923062	movie	What's the Holdup?	What's the Holdup?	0	\N	\N	\N	Comedy
tt1267192	movie	Singularity	Singularity	0	2008	\N	52	Sci-Fi
tt3682706	movie	Just My Luck!	Just My Luck!	0	1987	\N	\N	Comedy
tt0219060	movie	Die glücklichen Minuten des Georg Hauser	Die glücklichen Minuten des Georg Hauser	0	1974	\N	80	\N
tt0972552	movie	Dickie Smalls: From Shame to Fame	Dickie Smalls: From Shame to Fame	0	2007	\N	95	Comedy
tt10379140	movie	Trash Arts Killers: Volume Two	Trash Arts Killers: Volume Two	0	2019	\N	\N	Horror
tt0077301	movie	Love Letters of a Nun	Cartas de amor de una monja	0	1978	\N	110	Drama
tt2305360	movie	To the Holy Ground!	Seichi e!	0	2011	\N	118	Comedy,Drama
tt7732652	movie	Cidade do Aço	Cidade do Aço	0	2017	\N	\N	Comedy,Drama
tt6467346	movie	A Storm in a Teacup	Da jing xiao guai	0	1989	\N	\N	Comedy,Drama
tt1538216	movie	Aleyar Alo	Aleyar Alo	0	1970	\N	\N	Drama
tt6899026	movie	It's Always Sunny in Philadelphia: Cast & Creators Live at the Paley Center	It's Always Sunny in Philadelphia: Cast & Creators Live at the Paley Center	0	2010	\N	73	Comedy
tt1778350	movie	The General Specific	The General Specific	0	2011	\N	58	Drama
tt1445722	movie	Pudhiya Vanam	Pudhiya Vanam	0	1988	\N	\N	\N
tt9233624	movie	Christmas In Transylvania	Christmas In Transylvania	0	\N	\N	\N	Drama
tt3249714	movie	Album 61	Album 61	0	2013	\N	70	Biography,Documentary
